"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>：验证码区分大小写。"
"After number of attempts to login","经过尝试登陆"
"Always","总是"
"CAPTCHA","验证码"
"CAPTCHA Timeout (minutes)","验证码超时（分钟）"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","如果选择"建立用户"和"验证码"忘记密码"的形式始终启用"
"Case Sensitive","大小写"
"Displaying Mode","显示模式"
"Enable CAPTCHA in Admin","在管理员启用验证码"
"Enable CAPTCHA on Frontend","启用前端验证码"
"Font","是"
"Forms","形式"
"If 0 is specified, CAPTCHA on the Login form will be always available.","如果指定0，验证码登录表单将始终可用。"
"Incorrect CAPTCHA.","不正确验证码。"
"Number of Symbols","符号数"
"Number of Unsuccessful Attempts to Login","登录尝试失败的数量"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","请指定最多8符号。允许使用范围（如3-5）"
"Please type the letters below","请键入以下字母"
"Please type the letters from the image:","请从图像中键入字母："
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","请使用字母（az或AZ）或数字（0-9），在这一领域。没有空格或其他字符被允许<br>类似的字符（如""我"，"L""，"1"）由客户正确识别下降的机会。"
"Reload captcha","重新整理验证码"
"Symbols Used in CAPTCHA","在验证码中使用的符号"
