"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' 太长。它必须有长度 %min% 符号。"
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' 是太短了。它必须有长度 %min% 符号。"
"* Required Fields","*必填"
"<strong>%s</strong> requests access to your account","<strong>%s的</strong>请求访问您的帐户"
"Admin","管理"
"After authorization application will have access to you account.","申请授权后，将有机会到您的帐户。"
"An error occurred on confirm authorize.","发生错误，确认授权。"
"An error occurred on delete action.","删除操作发生错误。"
"An error occurred on delete application.","上删除应用程序发生错误。"
"An error occurred on reject authorize.","发生错误拒绝授权。"
"An error occurred on saving consumer data.","保存消费者数据时发生错误。"
"An error occurred on update revoke status.","发生错误，更新撤销状态。"
"An error occurred while deleting the consumer.","发生了错误，而删去消费者。"
"An error occurred.","发生了错误。"
"An error occurred. Your authorization request is invalid.","发生了错误。您的授权请求是无效的。"
"App Name","应用程序名称"
"Application ""%s"" has been deleted.","应用程序""%s""已被删除。"
"Application ""%s"" has been enabled.","应用程序""%s""已启用。"
"Application ""%s"" has been revoked.","应用程序""%s""已被吊销。"
"Application Name","应用程序的名称"
"Application not found.","不符合的应用。"
"Are you sure you want to delete this application?","你确定要删除此应用程序吗？"
"Are you sure you want to disable this application?","你确定要禁用此应用程序吗？"
"Are you sure you want to enable this application?","你确定要启用此应用程序吗？"
"Authorization confirmed","授权确认"
"Authorization confirmed.","授权确认。"
"Authorize","授权"
"Authorize application","授权申请"
"Authorized Tokens","授权Token"
"Callback URL","回调URL"
"Cleanup Probability","清理概率"
"Cleanup Settings","清理设置"
"Close","关闭"
"Confirm OAuth token authorization","确认OAuth的授权Token"
"Confirm token authorization Pop Up for admin","Token授权弹出确认为管理"
"Confirm token authorization for admin","确认Token授权管理"
"Confirmation Of Authorization","通过授权"
"Consumer Information","消费者信息"
"Consumer Name","消费者名义"
"Consumers","消费者"
"Created At","建立于"
"Customer","顾客"
"Customer My Account My OAuth Applications","客户我的户口我的OAuth的应用"
"Delete","删除"
"Disable","禁用"
"Disabled","禁用"
"Edit","编辑"
"Edit Consumer","编辑消费者"
"Email","电子邮件"
"Email Address","电邮地址"
"Enable","启用"
"Enabled","启用"
"Entry with ID #%s not found.","与ID条目编号%s未找到。"
"Expiration Period","有效期限"
"Give the verifier code to application administrator","验证码给应用程序管理员"
"ID","编号"
"Invalid Callback URL","回调URL无效"
"Invalid ID parameter.","无效的ID参数。"
"Invalid Rejected Callback URL","无效拒绝回调URL"
"Invalid entry ID.","条目ID无效。"
"Invalid revoke status.","无效的撤销状态。"
"Key","关键"
"Log In","登录"
"Log in as a customer","作为客户登录"
"Log in as admin","作为管理员登录"
"Log in as customer","如客户登录"
"Log in to use <strong>%s</strong>","登录使用<strong>%s的</strong>"
"Login","登录"
"My Applications","我的应用程序"
"Name","名称"
"New Consumer","新消费"
"OAuth","OAuth的"
"OAuth Admin My Apps","OAuth的管理我的应用程序"
"OAuth Authorized Tokens","OAuth的授权Token"
"OAuth Consumers","OAuth的消费者"
"OAuth authorization Pop Up for customer","OAuth授权弹出客户"
"OAuth authorization for admin","admin的OAuth授权"
"OAuth authorization for customer","OAuth授权为客户"
"OAuth authorization simple for admin","简单的管理OAuth授权"
"Password","密码"
"Permissions","权限"
"Please login to proceed authorization.","请先登录进行授权。"
"Please select needed row(s).","请选择所需的行（S）。"
"Please select revoke status.","请选择撤销状态。"
"REST - My Apps","REST的 - 我的软件"
"REST - OAuth Authorized Tokens","REST的 -  OAuth的授权Token"
"REST - OAuth Consumers","REST的 -  OAuth的消费者"
"Reject","拒绝"
"Reject OAuth token authorization","拒绝OAuth的授权Token"
"Reject authorization","拒绝授权"
"Reject token authorization Pop Up for admin","拒绝Token授权弹出的管理"
"Reject token authorization for admin","拒绝Token授权管理"
"Rejected Callback URL","拒绝回调URL"
"Rejection Of Authorization","授权的抑制"
"Revoked","撤销"
"Role Name","角色名称"
"Save","保存"
"Save and Continue Edit","保存并继续编辑"
"Secret","秘密"
"Selected entries enabled.","选定条目启用。"
"Selected entries has been deleted.","入选作品已被删除。"
"Selected entries revoked.","入选作品撤销。"
"Status","状态"
"System","系统"
"The application access request is rejected.","应用程序的访问请求被拒绝。"
"The consumer has been deleted.","消费者已被删除。"
"The consumer has been saved.","消费者已保存。"
"Token Status Change","Token状态变化"
"Token Status Change Email Template","Token状态更改电子邮件范本"
"Unable to find a consumer.","我们无法找到消费者。"
"User ID","用户ID"
"User Name","用户名"
"User Type","用户类型"
"Verifier code: %s","验证码：%S"
"You have no applications.","你有没有应用程序。"
"deleted","删除"
"enabled","启用"
"revoked","撤销"
