"%s","%s的"
"ACL Attribute Rules","ACL属性规则"
"ACL Attributes Information","ACL属性信息"
"Add","加"
"Add Admin Role","添加管理员角色"
"Add New Role","添加新角色"
"Address Type","地址类型"
"Admin","管理"
"Allow","允许"
"An error occurred while deleting the role.","错误发生，当删除角色。"
"An error occurred while saving attribute rules.","发生错误，同时储存了属性规则。"
"An error occurred while saving role.","发生错误，同时储存了角色。"
"Api Rules Information","API的规则信息"
"Assigned","分配"
"Associate to Website","联想到网站"
"Attribute Rules Information","属性规则的详细信息"
"Attribute Set","属性集"
"Attributes","属性"
"Automatically Return Credit Memo Item to Stock","自动恢复股票信用备忘项目"
"Back","背面"
"Backorders","缺货"
"Base Currency","基础货币"
"Base Customer Balance","基本客户餘额"
"Base Discount","基本折扣"
"Base Discount Amount","基本折扣金额"
"Base Item Subtotal","基地项目小计"
"Base Item Subtotal Including Tax","小计含税基地项目"
"Base Original Price","基原价"
"Base Price","基价"
"Base Price Including Tax","基準价格含税"
"Base Shipping","基地运送"
"Base Shipping Discount","相应的运费折扣"
"Base Shipping Tax","相应的运费税"
"Base Subtotal","基地小计"
"Base Subtotal Including Tax","基地小计含税"
"Base Tax Amount","基本税额"
"Base Total Due","基地总由 于"
"Base Total Paid","基地总支出"
"Base Total Refunded","基地总退款"
"Buy Now URL","商品来源英国现在的URL"
"Can Be Divided into Multiple Boxes for Shipping","可分为多箱航运"
"Canceled Qty","取消数量"
"Catalog","目录"
"Catalog Product","目录產品"
"CatalogInventory","CatalogInventory"
"Category ID","类别ID"
"City","城市"
"Company","公司"
"Country","国家"
"Coupon Code","优惠券代码"
"Create","建立"
"Create Permanent Redirect for old URL","建立永久重定向旧的URL"
"Created From","建立从"
"Customer","顾客"
"Customer Address","客户地址"
"Customer Address ID","客户地址ID"
"Customer Balance","客户餘额"
"Customer First Name","客户名"
"Customer ID","客户ID"
"Customer Last Name","客户的姓氏"
"Customer Middle Name","客户中间名"
"Customer Prefix","顾客前缀"
"Customer Suffix","顾客后缀"
"Default Image","预设图像"
"Delete","删除"
"Deny","否认"
"Disable automatic group change based on VAT ID","禁用自动组变化，根据增值税ID"
"Discount","折扣"
"Discount Amount","折扣额"
"Discount Description","优惠说明"
"Edit","编辑"
"Edit %s ACL attribute rules","编辑%的ACL属性规则"
"Edit Role","编辑角色"
"Edit attribute rules for %s Role","编辑%s角色的属性规则"
